"Nyheter","Tillit","Rettferdige","Pavirkning","Tillit_Storting","Tillit_Dom","Tillit_Politi","Tillit_Politikere","Stemme","Alder","Kjonn","Inntekt","Utdanning"
60,7,8,3,6,8,8,6,3,41,2,10,12
20,4,5,4,5,5,3,3,NA,18,2,3,3
120,7,7,2,5,7,5,2,3,24,1,6,6
120,8,5,2,10,10,8,5,4,73,2,3,3
40,10,10,3,10,5,10,5,7,76,1,1,3
3,4,8,2,6,6,7,4,NA,48,1,8,5555
60,9,9,3,9,8,9,6,4,61,1,6,10
45,7,7,2,2,5,4,5,5,84,1,3,3
90,7,NA,4,10,10,10,7,NA,16,1,NA,3
60,5,5,4,6,9,6,5,7,30,1,8,6
30,7,8,3,6,7,7,7,NA,47,2,7,10
60,6,5,3,8,8,8,3,4,60,1,6,11
150,1,6,2,0,0,0,0,NA,17,1,6,3
120,8,8,3,8,9,8,4,7,46,1,10,13
10,6,4,2,6,8,8,7,NA,48,2,4,9
1109,8,8,3,8,9,8,7,1,59,2,7,13
180,5,5,3,5,3,8,3,8,86,1,2,5
120,5,5,2,10,6,9,6,NA,52,2,5,10
45,3,6,2,3,8,8,0,11,22,1,NA,6
0,4,4,3,5,8,7,4,NA,32,2,NA,10
15,5,7,3,8,8,9,6,NA,38,2,3,10
120,5,8,2,8,10,8,5,6,79,1,2,3
10,7,7,3,8,8,7,7,NA,18,1,4,3
120,4,8,2,0,6,3,2,7,72,1,4,3
30,5,5,2,5,5,7,1,NA,25,1,2,8
30,9,8,3,6,8,8,6,3,58,1,2,5
0,9,10,5,10,10,10,10,NA,15,1,NA,3
60,5,6,3,7,7,6,4,NA,21,1,6,5
30,4,7,2,7,NA,8,4,NA,17,1,3,3
60,9,8,2,8,10,10,8,7,53,1,7,10
90,7,7,3,8,8,6,7,4,38,2,10,13
300,4,9,2,5,9,9,5,7,81,2,5,10
480,9,8,3,10,10,7,9,7,66,2,10,13
60,7,7,2,8,8,10,6,8,49,1,3,7
40,4,7,3,5,8,9,3,8,45,2,2,6
60,7,9,2,8,6,8,4,2,32,1,7,10
30,8,8,3,7,9,6,6,7,32,1,9,11
20,7,7,3,6,9,7,6,5,48,1,4,10
180,9,9,3,9,7,9,8,3,76,2,4,5
60,6,5,2,8,8,6,4,2,20,2,2,5
60,8,9,3,8,8,10,6,7,55,2,4,6
150,6,6,1,5,4,4,1,7,72,2,2,5
60,7,7,3,6,8,7,6,10,63,2,1,10
20,4,8,3,6,7,6,6,7,49,1,3,10
NA,NA,10,4,10,10,10,10,NA,NA,1,NA,5
60,6,8,2,10,10,10,7,7,72,2,6,8
180,8,7,3,8,9,9,7,11,64,1,2,10
60,1,1,1,1,8,1,1,3,40,1,3,3
45,8,5,3,6,6,7,5,7,55,2,8,13
963,7,5,4,7,8,9,3,1,23,2,2,5
90,6,7,3,4,6,9,2,6,50,2,4,5
120,7,8,4,9,9,8,7,3,52,2,9,13
30,7,7,3,6,7,8,7,7,81,2,1,3
30,7,7,4,9,9,9,6,7,47,2,10,13
120,5,5,3,9,9,8,5,3,69,1,3,6
20,6,7,2,3,3,3,2,10,24,2,NA,5
30,7,8,3,9,9,8,4,4,42,1,9,10
20,8,8,3,9,9,9,8,6,27,1,2,6
60,3,4,1,0,3,6,0,NA,29,1,3,6
120,5,5,3,5,3,3,5,3,71,1,9,3
60,7,7,3,5,6,9,4,7,70,2,3,3
240,7,8,2,5,6,6,5,6,76,2,3,3
150,6,5,3,3,7,6,2,4,61,2,10,9
NA,9,8,4,9,10,9,7,NA,36,1,9,13
75,8,8,3,8,9,9,6,7,50,2,8,10
60,7,7,3,6,8,7,4,7,36,1,3,6
75,7,8,3,8,8,8,7,5,37,2,9,11
60,8,6,2,9,9,9,9,3,62,2,2,10
10,6,5,3,6,8,9,5,7,32,1,9,6
60,4,5,1,5,8,8,5,3,38,1,8,6
10,8,7,2,8,9,7,7,NA,37,1,6,5
10,6,5,2,10,10,10,7,NA,42,1,4,5
90,8,8,4,7,7,6,5,5,57,1,6,10
120,7,8,4,8,9,9,6,3,48,2,9,6
30,8,3,1,0,8,9,0,6,74,1,3,5
60,8,8,4,8,8,8,6,3,65,1,3,6
120,2,2,1,4,6,7,3,1,36,2,9,10
836,3,6,3,6,7,8,5,NA,26,2,5,10
120,8,8,3,9,9,10,8,7,74,1,6,10
60,5,8,2,8,5,6,6,8,59,2,7,5
240,4,2,4,7,6,6,5,8,33,1,2,10
30,5,6,2,2,6,8,2,6,36,1,8,6
30,10,4,3,5,6,9,3,NA,21,2,3,5
15,9,7,4,9,10,10,8,NA,18,1,5,3
30,8,8,3,7,7,7,6,NA,41,2,3,11
30,10,10,4,10,10,10,10,NA,41,1,4,6
30,7,9,2,7,2,2,3,7,43,2,2,10
30,8,6,2,6,6,8,4,2,26,2,9,10
10,6,8,3,7,7,8,6,NA,18,1,6,3
25,9,7,3,3,8,9,4,5,78,2,5,13
120,8,10,1,8,9,8,7,7,82,1,2,5
45,8,8,2,5,7,8,5,7,57,2,6,5
90,5,5,3,5,5,5,4,7,NA,2,6,NA
150,7,7,2,5,8,8,5,4,27,1,8,13
120,5,5,4,9,8,9,8,7,24,1,6,11
60,9,8,4,8,8,8,7,3,42,2,7,12
15,5,5,2,9,10,10,9,NA,50,1,7,8
20,7,7,3,6,5,8,4,4,21,2,2,5
120,7,8,2,7,9,7,4,6,47,2,9,12
120,6,6,1,7,8,7,5,6,76,2,4,5555
60,8,9,4,10,10,9,9,1,60,2,10,10
150,6,6,3,6,6,6,5,3,56,1,7,6
60,5,5,2,2,7,7,1,3,41,1,4,6
60,7,7,3,8,7,4,4,NA,57,1,7,9
30,8,8,2,8,9,7,5,NA,48,1,6,13
45,8,8,3,9,8,9,6,5,46,1,4,10
120,8,7,3,10,10,10,8,3,79,1,3,10
65,7,9,3,7,9,6,6,3,60,1,5,3
981,7,4,4,8,9,8,5,3,79,1,3,13
300,6,6,3,7,8,7,6,7,73,2,7,11
120,7,8,3,9,7,8,7,7,68,2,2,10
120,5,7,2,5,5,6,5,3,75,2,1,6
300,5,3,3,8,6,8,4,3,53,2,8,9
15,9,9,3,10,6,10,9,NA,16,1,3,3
90,8,9,3,5,9,10,4,4,53,1,8,13
150,9,8,3,8,7,7,7,3,58,1,4,7
120,10,10,2,7,8,8,7,3,87,2,3,10
120,5,4,1,0,1,1,1,NA,56,1,4,3
120,7,8,2,6,8,8,6,3,58,2,10,9
30,7,5,3,7,8,8,9,3,70,1,6,6
716,10,8,2,6,7,8,6,5,72,2,5,2
30,5,7,2,0,5,5,3,NA,19,2,NA,3
0,10,10,3,9,10,10,7,10,34,2,7,13
60,7,8,3,8,9,9,8,3,55,1,6,13
30,8,NA,5,9,NA,8,8,3,22,1,NA,5
30,9,9,2,5,8,9,7,6,42,1,6,10
120,7,5,3,9,9,9,6,2,22,2,3,5
120,7,7,3,6,9,9,3,3,43,1,4,11
120,7,7,3,6,8,8,5,7,70,2,3,9
60,10,8,3,8,10,10,5,NA,70,2,3,3
120,8,3,3,7,8,8,4,7,64,1,7,5
180,5,8,2,2,8,10,0,8,54,2,4,6
20,8,8,2,6,8,10,4,7,48,1,9,6
90,7,7,4,6,9,8,6,7,49,1,9,13
180,8,2,3,7,8,7,6,6,75,1,2,6
10,5,8,4,6,9,9,6,NA,16,1,8,3
10,8,7,3,10,10,9,8,NA,16,1,NA,2
10,8,8,3,8,9,8,7,7,37,2,9,13
20,9,9,3,8,9,9,7,7,48,1,9,13
NA,7,8,4,8,8,8,7,4,34,2,3,10
30,7,6,2,8,6,6,2,6,39,1,6,12
10,6,7,4,7,6,8,8,NA,18,1,NA,2
