"polintr","actrolga","prtvtcgb","lrscale","stflife","stfdem","stfhlth","euftf","imbgeco","imueclt","inprdsc","atchctr","dscrrce","dscrsex","eisced","cntry"
2,2,NA,5,10,8,9,5,5,5,4,10,0,0,3,"DE"
1,4,NA,6,8,3,6,0,3,1,3,10,0,0,3,"DE"
2,2,NA,NA,9,7,3,6,6,5,4,10,0,0,5,"DE"
1,3,NA,5,9,6,7,8,6,7,4,10,0,0,3,"DE"
2,1,NA,2,7,3,3,10,5,5,5,2,0,0,4,"DE"
3,3,NA,NA,9,3,4,7,8,6,3,8,0,0,3,"DE"
3,1,NA,7,7,7,8,4,6,5,3,5,0,0,2,"DE"
1,5,NA,5,9,NA,8,2,5,5,3,9,0,0,7,"DE"
2,2,NA,5,9,8,8,7,8,7,6,10,0,0,7,"DE"
3,3,NA,3,8,1,10,4,5,4,6,6,0,0,3,"DE"
4,1,NA,5,7,3,9,8,4,0,3,5,0,0,2,"DE"
2,2,NA,5,7,8,10,8,7,4,3,8,0,0,5,"DE"
1,4,NA,2,10,7,7,8,7,9,4,9,0,0,6,"DE"
2,2,NA,4,8,7,7,5,5,8,4,10,0,0,3,"DE"
2,3,NA,5,5,2,3,5,5,3,3,10,0,0,3,"DE"
2,3,NA,3,8,6,8,8,5,8,4,5,0,0,5,"DE"
1,2,NA,2,3,4,2,8,8,8,4,4,0,0,5,"DE"
1,3,NA,1,7,5,2,10,8,10,1,5,0,0,5,"DE"
3,1,NA,5,5,5,5,8,4,4,4,10,0,0,5,"DE"
1,4,NA,5,9,7,7,8,7,8,3,10,0,0,6,"DE"
3,3,NA,5,7,7,6,6,5,4,2,8,0,0,6,"DE"
2,2,NA,2,8,5,3,10,8,7,6,7,0,0,6,"DE"
3,3,NA,3,10,7,9,6,5,8,2,8,0,0,3,"DE"
2,4,NA,6,9,8,7,6,7,5,4,8,0,0,6,"DE"
3,4,NA,5,8,4,2,6,5,0,4,10,0,0,5,"DE"
3,3,NA,4,7,7,9,8,7,8,5,5,0,0,4,"DE"
2,2,NA,3,8,7,4,10,10,5,5,10,0,0,6,"DE"
1,2,NA,5,10,10,7,7,8,10,4,10,0,0,7,"DE"
3,2,NA,7,7,2,7,2,8,8,4,5,0,0,7,"DE"
1,5,NA,10,4,5,5,10,5,5,3,10,0,0,2,"DE"
3,2,NA,2,6,7,7,7,5,5,4,9,0,0,7,"DE"
2,3,NA,4,9,8,9,7,5,5,3,8,0,0,2,"DE"
2,2,NA,6,7,3,6,8,5,5,4,7,0,0,6,"DE"
1,2,NA,5,9,8,5,10,9,8,4,10,0,0,7,"DE"
3,1,NA,6,7,8,7,8,6,7,5,7,0,0,3,"DE"
2,3,NA,5,5,4,3,6,7,7,4,9,0,0,2,"DE"
3,3,NA,7,6,6,6,8,7,6,4,8,0,0,6,"DE"
3,3,NA,4,8,6,6,8,6,9,4,8,0,0,4,"DE"
2,2,NA,5,8,8,5,9,8,10,4,9,0,0,3,"DE"
2,3,NA,2,4,0,2,3,3,9,2,7,0,0,3,"DE"
3,2,NA,5,7,5,8,8,6,6,3,8,1,0,2,"DE"
3,3,NA,5,10,8,4,7,7,6,6,9,0,0,5,"DE"
2,2,NA,2,9,10,7,8,9,9,4,10,0,0,3,"DE"
2,1,NA,4,9,6,8,8,7,7,4,8,0,0,7,"DE"
3,2,NA,7,8,6,5,3,3,1,3,9,0,0,3,"DE"
2,2,NA,3,5,7,7,9,7,8,4,8,0,0,7,"DE"
1,4,NA,5,10,7,4,7,6,0,1,5,0,0,7,"DE"
1,3,NA,3,8,7,8,8,8,8,4,10,0,0,5,"DE"
1,3,NA,5,7,6,6,7,NA,6,4,6,0,0,6,"DE"
2,3,NA,NA,9,6,2,8,9,8,3,10,0,0,6,"DE"
1,2,NA,3,10,NA,5,10,8,10,4,NA,0,0,6,"DE"
1,1,NA,0,10,5,10,10,10,10,1,0,0,0,5,"DE"
3,4,NA,5,5,3,2,7,5,5,3,7,0,0,6,"DE"
2,1,NA,7,10,8,3,8,7,3,4,10,0,0,5,"DE"
2,1,NA,1,8,3,8,5,6,8,4,10,0,0,3,"DE"
3,3,NA,3,10,8,10,5,8,7,6,10,0,0,3,"DE"
2,4,NA,2,8,8,8,9,8,8,3,8,0,0,5,"DE"
1,3,NA,2,3,2,3,2,8,4,4,9,0,0,5,"DE"
2,3,NA,8,8,8,7,5,5,5,4,8,0,0,6,"DE"
3,3,NA,4,9,6,3,8,6,7,4,8,0,0,3,"DE"
3,4,NA,3,9,8,8,8,5,4,4,9,0,0,7,"DE"
2,3,NA,8,3,6,4,3,5,3,3,7,0,0,3,"DE"
2,2,NA,3,9,7,8,8,8,8,6,8,0,0,5,"DE"
3,2,NA,0,10,7,10,7,5,5,6,10,0,0,1,"DE"
3,2,NA,4,8,7,8,6,7,5,4,6,0,0,7,"DE"
3,2,NA,4,7,1,3,3,4,2,4,6,0,0,3,"DE"
1,3,NA,8,8,8,5,10,9,10,4,10,0,0,5,"DE"
1,4,NA,5,8,9,8,8,10,5,5,10,0,0,3,"DE"
2,1,NA,2,8,6,1,5,7,8,6,3,0,0,2,"DE"
2,3,NA,3,8,10,2,8,9,10,4,7,0,0,7,"DE"
2,2,NA,5,8,7,8,5,8,7,4,3,0,0,2,"DE"
2,3,NA,4,10,7,5,7,8,10,5,4,0,0,3,"DE"
3,1,NA,3,8,6,3,5,8,8,4,7,0,0,5,"DE"
1,2,NA,3,9,8,7,5,10,8,3,10,0,0,3,"DE"
1,1,NA,4,7,10,9,9,6,3,3,9,0,0,6,"DE"
1,2,NA,4,8,7,5,7,7,7,6,5,0,0,5,"DE"
1,4,NA,5,9,9,4,8,9,9,4,8,0,0,6,"DE"
2,2,NA,3,7,8,8,8,8,8,4,6,0,0,1,"DE"
2,2,NA,5,7,3,7,3,5,6,4,6,0,0,3,"DE"
2,2,NA,3,5,6,4,6,7,7,2,5,0,0,7,"DE"
2,2,NA,4,9,7,6,7,7,6,2,9,0,0,5,"DE"
1,3,NA,2,7,4,6,3,5,3,3,8,0,0,3,"DE"
2,2,NA,4,5,4,8,4,3,4,1,7,0,0,6,"DE"
1,4,NA,5,10,10,9,8,9,9,4,7,0,0,7,"DE"
3,4,NA,8,9,4,7,5,3,4,5,6,0,0,2,"DE"
3,3,NA,4,9,8,5,8,8,10,4,9,0,0,3,"DE"
1,2,NA,3,3,10,4,9,7,8,3,8,0,0,7,"DE"
3,3,NA,7,9,6,5,5,8,5,3,5,0,0,2,"DE"
2,3,NA,NA,10,10,10,0,5,7,5,10,0,0,2,"DE"
2,2,NA,3,5,7,5,7,5,8,4,5,0,0,3,"DE"
